pCL_name (or CL_name),transcriptome data cluster,TDC_id,pCL_id (or CL_id),definition,part_of (uberon_id),Species_source,Species_ID,part_of (uberon_name),is_a (CL or pCL_id)_parent_ID,is_a (CL or pCL_name)_parent_name,cluster_size (number of cells),f-measure_evidence,marker_gene_evidence,selectively_expresses,selectively_expresses,selectively_expresses,selectively_expresses,selectively_expresses,neuron_type
Inh PVALB KLHL29,Inh PVALB KLHL29,Bakken311,pCL415,"is a PVALB marmoset primary motor cortex GABAergic interneuron that selectively expresses ABCB4, and RNF144B, and SLIT2 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL114,PVALB expressing GABAergic neuron,104,0.566037736,3,ABCB4,RNF144B,SLIT2,,,GAD
Inh PVALB LOC103789439,Inh PVALB LOC103789439,Bakken312,pCL416,"is a PVALB marmoset primary motor cortex GABAergic interneuron that selectively expresses CALN1, and FAM179A, and FILIP1, and SULF1 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL114,PVALB expressing GABAergic neuron,162,0.403726708,4,CALN1,FAM179A,FILIP1,SULF1,,GAD
Inh PVALB LOC103790362,Inh PVALB LOC103790362,Bakken313,pCL417,"is a PVALB marmoset primary motor cortex GABAergic interneuron that selectively expresses COL25A1, and FILIP1, and PRKG1 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL114,PVALB expressing GABAergic neuron,447,0.616236162,3,COL25A1,FILIP1,PRKG1,,,GAD
Inh PVALB OSBP2,Inh PVALB OSBP2,Bakken314,pCL418,"is a PVALB marmoset primary motor cortex GABAergic interneuron that selectively expresses B3GLCT, and BTBD11, and MYO5B mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL114,PVALB expressing GABAergic neuron,245,0.255068672,3,B3GLCT,BTBD11,MYO5B,,,GAD
Inh PVALB OTOGL,Inh PVALB OTOGL,Bakken315,pCL419,"is a PVALB marmoset primary motor cortex GABAergic interneuron that selectively expresses CCDC141, and CHRM2, and POSTN mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL114,PVALB expressing GABAergic neuron,134,0.702702703,3,CCDC141,CHRM2,POSTN,,,GAD
Inh PVALB PCDH19,Inh PVALB PCDH19,Bakken316,pCL420,"is a PVALB marmoset primary motor cortex GABAergic interneuron that selectively expresses CPNE8, and LOC103788721, and POSTN mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL114,PVALB expressing GABAergic neuron,76,0.52238806,3,CPNE8,LOC103788721,POSTN,,,GAD
Inh PVALB SST EYS,Inh PVALB SST EYS,Bakken317,pCL421,"is a PVALB marmoset primary motor cortex GABAergic interneuron that selectively expresses EYS, and LOC103788721, and POSTN mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL114,PVALB expressing GABAergic neuron,224,0.544692737,3,EYS,LOC103788721,POSTN,,,GAD
Inh PVALB SST LRRC6,Inh PVALB SST LRRC6,Bakken318,pCL422,"is a SST marmoset primary motor cortex GABAergic interneuron that selectively expresses COL25A1, and EYS, and NOS1, and TOX2 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL117,SST expressing GABAergic neuron,149,0.415162455,4,COL25A1,EYS,NOS1,TOX2,,GAD
Inh SNCG CNTN4,Inh SNCG CNTN4,Bakken319,pCL423,"is a SNCG marmoset primary motor cortex GABAergic interneuron that selectively expresses ARHGAP18, and PCDH15, and VEGFC mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL115,SNCG expressing GABAergic neuron,49,0.744680851,3,ARHGAP18,PCDH15,VEGFC,,,GAD
Inh SNCG LOC108587895,Inh SNCG LOC108587895,Bakken320,pCL424,"is a VIP marmoset primary motor cortex GABAergic interneuron that selectively expresses ADARB2, and LOC103793609, and SEMA3C mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL118,VIP expressing GABAergic neuron,260,0.619047619,3,ADARB2,LOC103793609,SEMA3C,,,GAD
