,GAD_1,GAD_2,GAD_3,GAD_4,GAD_5,GAD_6,GAD_7,GAD_8,GAD_9,GAD_10,GAD_11,GAD_12
SKAP1,0.030400952324271202,0.033328354358673096,0.03126126527786255,0.26137933135032654,0.009834649041295052,0.010983307845890522,0.07243535667657852,0.03694617375731468,0.029356379061937332,0.04218044877052307,0.038473546504974365,0.0408351868391037
CALB2,0.19104835391044617,0.3251200020313263,2.5794568061828613,1.4077168703079224,0.9660388827323914,1.753127932548523,0.394574373960495,0.046300504356622696,0.09996791183948517,0.19089104235172272,0.06165141984820366,0.1140410378575325
PCSK6,1.0244603157043457,0.15941303968429565,1.210332989692688,0.5282788872718811,3.18062162399292,0.17885451018810272,0.5025743246078491,0.11947687715291977,0.06215861067175865,1.4705288410186768,0.13905468583106995,0.06484800577163696
CREB5,0.08570273220539093,0.19426806271076202,1.1508373022079468,0.1260536015033722,0.33389124274253845,0.08771611750125885,0.5978373289108276,0.6881024241447449,2.059776544570923,0.23665758967399597,0.3065534234046936,0.34916800260543823
CRH,0.5965881943702698,0.18150782585144043,2.1148858070373535,1.4131591320037842,0.12190832942724228,0.095366932451725,0.3933211863040924,0.1006852239370346,1.0008753538131714,0.08465421944856644,0.0586371012032032,0.10328759253025055
MYO16,4.015468597412109,3.2682480812072754,1.3360249996185303,2.0622525215148926,0.18821892142295837,5.1735405921936035,1.944239854812622,2.8392512798309326,4.104854583740234,1.3121778964996338,0.39180928468704224,1.0783096551895142
THSD4,0.11722783744335175,0.11247917264699936,1.6492314338684082,0.5150473117828369,0.07353204488754272,0.12356049567461014,0.7038645148277283,0.06764869391918182,0.08628959953784943,0.9131404161453247,0.10930189490318298,0.2111041247844696
ANO1,0.2456905096769333,0.18953873217105865,1.0542757511138916,0.22334320843219757,0.05452791601419449,0.8868138790130615,0.5334442257881165,1.1516177654266357,1.9182499647140503,0.17546342313289642,0.09980247169733047,1.211889624595642
THSD7A,1.3796882629394531,0.6198660731315613,4.543731212615967,3.435076951980591,4.8444390296936035,1.1372183561325073,2.132467269897461,1.1358662843704224,5.696074485778809,1.1827945709228516,1.0513744354248047,2.0446279048919678
TRPC4,0.44389230012893677,0.2957737147808075,1.9034838676452637,0.3796900808811188,0.1300082802772522,0.7828395366668701,1.1862012147903442,1.9820035696029663,3.1527328491210938,0.1272808164358139,0.31077876687049866,0.6670294404029846
VIP,0.0900958925485611,0.06105681136250496,2.110318422317505,0.5523155331611633,0.08460010588169098,0.033307164907455444,0.23797334730625153,0.021472690626978874,0.03717825189232826,0.020479515194892883,0.0387481264770031,0.04675546661019325
